"name","name_en","amenity","building","healthcare","healthca_1","operator_t","capacity_p","addr_full","addr_city","source","name_fr","osm_id","osm_type","geometry","lon","lat"
"Pharmacie de Cinkansé",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,"survey",NA,6975968265,"nodes",c(-0.001212, 11.1190053),-0.001212,11.1190053
"CSPS",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,5879139658,"nodes",c(-0.0957495, 12.0161435),-0.0957495,12.0161435
"Residence Yoin",NA,"dentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,5643694823,"nodes",c(-0.0332363, 14.025851),-0.0332363,14.025851
"CSPS de Madougou",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8412892834,"nodes",c(-2.5239292, 14.0490748),-2.5239292,14.0490748
"CM de Bahn",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8412896218,"nodes",c(-2.4559955, 14.0762678),-2.4559955,14.0762678
"Centre Médical",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12535927630,"nodes",c(-0.0550953, 11.8641564),-0.0550953,11.8641564
"Dépôt pharmaceutique",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,4982194018,"nodes",c(-1.2660228, 12.4874168),-1.2660228,12.4874168
"Pharmacie Kossodo",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,5897520889,"nodes",c(-1.473243, 12.4171874),-1.473243,12.4171874
"CSPS de Baani",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8425473241,"nodes",c(-2.6158673, 13.9052236),-2.6158673,13.9052236
NA,NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,5416625541,"nodes",c(-1.8742071, 12.1942294),-1.8742071,12.1942294
"CSPS de Doré",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8425106548,"nodes",c(-2.6254749, 13.9339657),-2.6254749,13.9339657
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12919366974,"nodes",c(-1.7152633, 12.3652466),-1.7152633,12.3652466
"CSPS du Secteur 8",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,6158680166,"nodes",c(-4.7737983, 10.6479657),-4.7737983,10.6479657
